iter	Passed	Remaining
0	204	163006
1	259	103573
2	322	85556
3	376	74908
4	436	69412
5	491	65049
6	544	61672
7	607	60132
8	668	58718
9	729	57649
10	791	56750
11	853	56076
12	914	55391
13	973	54660
14	1027	53763
15	1081	52983
16	1132	52179
17	1182	51379
18	1235	50766
19	1285	50139
20	1338	49635
21	1392	49256
22	1444	48792
23	1496	48372
24	1547	47963
25	1602	47712
26	1655	47407
27	1707	47085
28	1763	46879
29	1817	46655
30	1869	46376
31	1921	46118
32	1979	45998
33	2034	45830
34	2089	45680
35	2145	45530
36	2198	45330
37	2249	45115
38	2305	44991
39	2360	44843
40	2427	44934
41	2489	44921
42	2559	45055
43	2625	45118
44	2690	45132
45	2758	45221
46	2829	45326
47	2892	45323
48	2964	45431
49	3029	45447
50	3085	45310
51	3143	45220
52	3207	45201
53	3269	45166
54	3328	45089
55	3385	44976
56	3436	44801
57	3498	44756
58	3557	44678
59	3622	44674
60	3679	44578
61	3738	44505
62	3791	44359
63	3849	44273
64	3900	44110
65	3951	43948
66	4005	43818
67	4061	43719
68	4122	43669
69	4177	43562
70	4236	43498
71	4291	43391
72	4349	43317
73	4403	43197
74	4456	43082
75	4513	42998
76	4568	42900
77	4622	42789
78	4673	42652
79	4731	42580
80	4789	42513
81	4839	42371
82	4894	42278
83	4956	42248
84	5011	42154
85	5066	42063
86	5118	41945
87	5174	41869
88	5230	41785
89	5295	41775
90	5351	41697
91	5408	41619
92	5455	41475
93	5508	41369
94	5573	41362
95	5638	41349
96	5698	41300
97	5758	41247
98	5817	41192
99	5880	41160
100	5940	41110
101	5998	41047
102	6056	40985
103	6114	40922
104	6170	40842
105	6224	40752
106	6279	40667
107	6334	40585
108	6394	40539
109	6450	40460
110	6505	40382
111	6564	40323
112	6630	40311
113	6692	40271
114	6751	40217
115	6805	40131
116	6860	40046
117	6917	39981
118	6976	39925
119	7039	39892
120	7099	39841
121	7158	39781
122	7209	39680
123	7269	39631
124	7331	39588
125	7387	39514
126	7444	39448
127	7501	39380
128	7554	39296
129	7609	39216
130	7667	39156
131	7728	39109
132	7782	39027
133	7834	38938
134	7889	38862
135	7945	38790
136	8007	38752
137	8062	38675
138	8117	38601
139	8170	38518
140	8223	38432
141	8283	38383
142	8336	38299
143	8401	38273
144	8452	38180
145	8502	38085
146	8559	38023
147	8616	37959
148	8671	37885
149	8722	37797
150	8773	37708
151	8828	37638
152	8881	37555
153	8932	37470
154	8989	37407
155	9052	37368
156	9109	37306
157	9159	37218
158	9216	37154
159	9275	37103
160	9333	37042
161	9397	37008
162	9450	36930
163	9508	36872
164	9564	36808
165	9617	36733
166	9672	36662
167	9729	36601
168	9783	36527
169	9838	36459
170	9895	36399
171	9951	36334
172	10004	36260
173	10059	36192
174	10121	36149
175	10178	36089
176	10235	36025
177	10288	35950
178	10339	35871
179	10391	35792
180	10451	35743
181	10507	35678
182	10572	35644
183	10636	35610
184	10698	35566
185	10761	35524
186	10825	35486
187	10887	35443
188	10962	35438
189	11019	35377
190	11073	35307
191	11132	35251
192	11185	35179
193	11238	35105
194	11297	35050
195	11352	34984
196	11413	34936
197	11471	34879
198	11527	34814
199	11579	34738
200	11638	34685
201	11697	34630
202	11751	34559
203	11808	34500
204	11860	34423
205	11921	34374
206	11979	34316
207	12035	34256
208	12086	34177
209	12137	34100
210	12193	34037
211	12252	33982
212	12310	33925
213	12369	33870
214	12422	33800
215	12474	33727
216	12526	33655
217	12579	33584
218	12639	33531
219	12694	33467
220	12750	33406
221	12801	33330
222	12854	33261
223	12912	33203
224	12962	33125
225	13011	33046
226	13066	32983
227	13114	32901
228	13170	32839
229	13228	32782
230	13284	32721
231	13336	32651
232	13393	32593
233	13443	32516
234	13497	32451
235	13556	32397
236	13609	32329
237	13671	32282
238	13729	32226
239	13786	32168
240	13842	32107
241	13898	32046
242	13952	31980
243	14011	31927
244	14069	31870
245	14129	31820
246	14186	31761
247	14239	31694
248	14292	31627
249	14351	31572
250	14404	31505
251	14464	31454
252	14518	31390
253	14576	31333
254	14629	31266
255	14680	31195
256	14733	31128
257	14786	31063
258	14842	31003
259	14900	30946
260	14949	30872
261	15006	30814
262	15063	30757
263	15123	30705
264	15176	30638
265	15229	30573
266	15293	30530
267	15350	30472
268	15404	30408
269	15466	30359
270	15527	30309
271	15588	30259
272	15655	30221
273	15715	30169
274	15776	30119
275	15831	30056
276	15887	29997
277	15941	29933
278	15992	29863
279	16045	29798
280	16096	29729
281	16145	29658
282	16195	29587
283	16254	29532
284	16307	29468
285	16364	29410
286	16424	29357
287	16490	29317
288	16552	29268
289	16612	29214
290	16669	29157
291	16735	29114
292	16796	29064
293	16863	29022
294	16922	28968
295	16974	28903
296	17033	28848
297	17085	28781
298	17139	28718
299	17192	28653
300	17243	28587
301	17307	28539
302	17361	28477
303	17419	28421
304	17477	28364
305	17533	28305
306	17591	28248
307	17642	28181
308	17703	28130
309	17758	28069
310	17810	28004
311	17866	27945
312	17927	27892
313	17988	27842
314	18048	27789
315	18102	27726
316	18155	27662
317	18204	27592
318	18259	27532
319	18316	27474
320	18372	27415
321	18427	27354
322	18492	27308
323	18553	27258
324	18611	27201
325	18664	27137
326	18716	27073
327	18772	27014
328	18830	26958
329	18885	26897
330	18938	26834
331	18998	26781
332	19056	26725
333	19115	26669
